DATE,WALCL_CHG
2002-12-25,12517
2003-01-01,-1065
2003-01-08,-7232
2003-01-15,-3688
2003-01-22,15879
2003-01-29,-23144
2003-02-05,6834
2003-02-12,-6362
2003-02-19,17119
2003-02-26,-8420
2003-03-05,669
2003-03-12,-5635
2003-03-19,12909
2003-03-26,-4904
2003-04-02,7433
2003-04-09,-4626
2003-04-16,18012
2003-04-23,-13616
2003-04-30,14072
2003-05-07,-12828
2003-05-14,6905
2003-05-21,-5672
2003-05-28,10197
2003-06-04,-13229
2003-06-11,11569
2003-06-18,-7310
2003-06-25,8092
2003-07-02,-3892
2003-07-09,4304
2003-07-16,-6665
2003-07-23,7900
2003-07-30,-5370
2003-08-06,-6277
2003-08-13,1368
2003-08-20,15439
2003-08-27,-10188
2003-09-03,9824
2003-09-10,-13227
2003-09-17,6705
2003-09-24,-2746
2003-10-01,11962
2003-10-08,-16047
2003-10-15,17121
2003-10-22,-10651
2003-10-29,3694
2003-11-05,-3156
2003-11-12,1488
2003-11-19,-1083
2003-11-26,12443
2003-12-03,-6983
2003-12-10,6604
2003-12-17,-2666
2003-12-24,13093
2003-12-31,4539
2004-01-07,-15722
2004-01-14,-3017
2004-01-21,23021
2004-01-28,-20554
2004-02-04,-1126
2004-02-11,-3154
2004-02-18,7760
2004-02-25,-8093
2004-03-03,4201
2004-03-10,-4917
2004-03-17,10688
2004-03-24,-9128
2004-03-31,9215
2004-04-07,-6642
2004-04-14,9651
2004-04-21,-5750
2004-04-28,14943
2004-05-05,-14089
2004-05-12,5997
2004-05-19,-7961
2004-05-26,14234
2004-06-02,-7018
2004-06-09,8097
2004-06-16,-10353
2004-06-23,13427
2004-06-30,4317
2004-07-07,-1415
2004-07-14,-2627
2004-07-21,1228
2004-07-28,-2848
2004-08-04,-1831
2004-08-11,-2820
2004-08-18,-1670
2004-08-25,7842
2004-09-01,9836
2004-09-08,3329
2004-09-15,526
2004-09-22,-7004
2004-09-29,4206
2004-10-06,-4553
2004-10-13,13706
2004-10-20,-10529
2004-10-27,6382
2004-11-03,-784
2004-11-10,9921
2004-11-17,-6383
2004-11-24,15866
2004-12-01,-2893
2004-12-08,1432
2004-12-15,-1467
2004-12-22,4305
2004-12-29,-389
2005-01-05,4758
2005-01-12,-17247
2005-01-19,8505
2005-01-26,302
2005-02-02,-2516
2005-02-09,-7447
2005-02-16,-1693
2005-02-23,8970
2005-03-02,-3324
2005-03-09,-2002
2005-03-16,7961
2005-03-23,-10117
2005-03-30,10457
2005-04-06,-10224
2005-04-13,8380
2005-04-20,-3914
2005-04-27,8004
2005-05-04,-7385
2005-05-11,5966
2005-05-18,-6832
2005-05-25,8614
2005-06-01,7175
2005-06-08,-3163
2005-06-15,-2974
2005-06-22,-769
2005-06-29,-347
2005-07-06,11474
2005-07-13,-12695
2005-07-20,7943
2005-07-27,-2545
2005-08-03,4582
2005-08-10,-10297
2005-08-17,5230
2005-08-24,-2461
2005-08-31,11924
2005-09-07,-737
2005-09-14,1090
2005-09-21,-10664
2005-09-28,10845
2005-10-05,-6634
2005-10-12,9169
2005-10-19,-12025
2005-10-26,4824
2005-11-02,-4534
2005-11-09,10420
2005-11-16,-1728
2005-11-23,9861
2005-11-30,1935
2005-12-07,-1809
2005-12-14,-2300
2005-12-21,17367
2005-12-28,-617
2006-01-04,4156
2006-01-11,-22499
2006-01-18,6685
2006-01-25,-7141
2006-02-01,2907
2006-02-08,-4195
2006-02-15,7627
2006-02-22,5315
2006-03-01,-1199
2006-03-08,-122
2006-03-15,3776
2006-03-22,-5007
2006-03-29,-4328
2006-04-05,914
2006-04-12,2273
2006-04-19,-510
2006-04-26,8220
2006-05-03,-705
2006-05-10,-5462
2006-05-17,-252
2006-05-24,2098
2006-05-31,11329
2006-06-07,-2506
2006-06-14,-3205
2006-06-21,-1096
2006-06-28,-337
2006-07-05,7223
2006-07-12,-7268
2006-07-19,5503
2006-07-26,-8342
2006-08-02,8711
2006-08-09,-10257
2006-08-16,2870
2006-08-23,-4889
2006-08-30,12938
2006-09-06,-2331
2006-09-13,-7708
2006-09-20,-2694
2006-09-27,11779
2006-10-04,-7675
2006-10-11,17043
2006-10-18,-15139
2006-10-25,8448
2006-11-01,2888
2006-11-08,3094
2006-11-15,-3079
2006-11-22,9575
2006-11-29,-8455
2006-12-06,5507
2006-12-13,-8327
2006-12-20,11159
2006-12-27,4978
2007-01-03,4638
2007-01-10,-19807
2007-01-17,4544
2007-01-24,-7608
2007-01-31,13975
2007-02-07,-10673
2007-02-14,12142
2007-02-21,2036
2007-02-28,8174
2007-03-07,-12904
2007-03-14,11603
2007-03-21,-13041
2007-03-28,6736
2007-04-04,-7484
2007-04-11,3122
2007-04-18,-4106
2007-04-25,18351
2007-05-02,11171
2007-05-09,-15587
2007-05-16,-15711
2007-05-23,14376
2007-05-30,3051
2007-06-06,-4280
2007-06-13,-7717
2007-06-20,1100
2007-06-27,-984
2007-07-04,11506
2007-07-11,-7204
2007-07-18,3509
2007-07-25,-9026
2007-08-01,6371
2007-08-08,-4808
2007-08-15,-522
2007-08-22,-2156
2007-08-29,10098
2007-09-05,-1717
2007-09-12,15158
2007-09-19,-18582
2007-09-26,22168
2007-10-03,-20849
2007-10-10,17312
2007-10-17,-16854
2007-10-24,11886
2007-10-31,1990
2007-11-07,2339
2007-11-14,3813
2007-11-21,1491
2007-11-28,-11611
2007-12-05,3347
2007-12-12,-1014
2007-12-19,6233
2007-12-26,2679
2008-01-02,31525
2008-01-09,-41433
2008-01-16,12827
2008-01-23,-16328
2008-01-30,23011
2008-02-06,-29242
2008-02-13,11983
2008-02-20,-4056
2008-02-27,14876
2008-03-05,-12617
2008-03-12,15357
2008-03-19,-7919
2008-03-26,5319
2008-04-02,-10257
2008-04-09,9321
2008-04-16,-11125
2008-04-23,3877
2008-04-30,2350
2008-05-07,1097
2008-05-14,-9053
2008-05-21,18312
2008-05-28,5567
2008-06-04,-8115
2008-06-11,-5329
2008-06-18,11694
2008-06-25,-9591
2008-07-02,10249
2008-07-09,-4928
2008-07-16,12647
2008-07-23,-11016
2008-07-30,18960
2008-08-06,-16915
2008-08-13,12922
2008-08-20,-16021
2008-08-27,11371
2008-09-03,-4729
2008-09-10,20472
2008-09-17,69368
2008-09-24,216732
2008-10-01,292164
2008-10-08,87598
2008-10-15,179222
2008-10-22,31793
2008-10-29,166484
2008-11-05,105119
2008-11-12,138647
2008-11-19,-25715
2008-11-26,-81020
2008-12-03,30807
2008-12-10,113088
2008-12-17,4971
2008-12-24,-22672
2008-12-31,7146
2009-01-07,-118018
2009-01-14,-71725
2009-01-21,-12602
2009-01-28,-110030
2009-02-04,-75645
2009-02-11,-8037
2009-02-18,72162
2009-02-25,553
2009-03-04,-14798
2009-03-11,-1803
2009-03-18,167428
2009-03-25,4614
2009-04-01,7380
2009-04-08,9637
2009-04-15,97925
2009-04-22,10314
2009-04-29,-130100
2009-05-06,13046
2009-05-13,116593
2009-05-20,-14719
2009-05-27,-101517
2009-06-03,-2420
2009-06-10,-25398
2009-06-17,20230
2009-06-24,-46956
2009-07-01,-19944
2009-07-08,-12887
2009-07-15,79711
2009-07-22,-33450
2009-07-29,-38454
2009-08-05,-11344
2009-08-12,25696
2009-08-19,45742
2009-08-26,14261
2009-09-02,8818
2009-09-09,4226
2009-09-16,51837
2009-09-23,18848
2009-09-30,-17611
2009-10-07,-2934
2009-10-14,54701
2009-10-21,8332
2009-10-28,-39582
2009-11-04,3530
2009-11-11,-30032
2009-11-18,73686
2009-11-25,-2362
2009-12-02,-2285
2009-12-09,-17691
2009-12-16,49380
2009-12-23,40
2009-12-30,-1736
2010-01-06,1237
2010-01-13,56396
2010-01-20,-39894
2010-01-27,-4920
2010-02-03,2433
2010-02-10,7360
2010-02-17,20895
2010-02-24,8553
2010-03-03,-5980
2010-03-10,2327
2010-03-17,25523
2010-03-24,5152
2010-03-31,-5999
2010-04-07,425
2010-04-14,31770
2010-04-21,-1789
2010-04-28,-7084
2010-05-05,-4308
2010-05-12,9939
2010-05-19,14787
2010-05-26,-16849
2010-06-02,2175
2010-06-09,-4687
2010-06-16,12787
2010-06-23,181
2010-06-30,-13646
2010-07-07,1166
2010-07-14,8700
2010-07-21,-8395
2010-07-28,-7024
2010-08-04,1181
2010-08-11,1054
2010-08-18,-13871
2010-08-25,-12647
2010-09-01,981
2010-09-08,3806
2010-09-15,-9723
2010-09-22,11092
2010-09-29,-8480
2010-10-06,9401
2010-10-13,1793
2010-10-20,-4658
2010-10-27,-9835
2010-11-03,4961
2010-11-10,12415
2010-11-17,1989
2010-11-24,31244
2010-12-01,919
2010-12-08,35374
2010-12-15,3460
2010-12-22,42167
2010-12-29,-7351
2011-01-05,15494
2011-01-12,32067
2011-01-19,-42967
2011-01-26,18363
2011-02-02,25892
2011-02-09,31062
2011-02-16,8387
2011-02-23,24353
2011-03-02,11898
2011-03-09,31957
2011-03-16,5970
2011-03-23,18295
2011-03-30,21182
2011-04-06,26153
2011-04-13,16732
2011-04-20,20374
2011-04-27,5203
2011-05-04,27772
2011-05-11,25741
2011-05-18,13511
2011-05-25,16987
2011-06-01,13727
2011-06-08,22483
2011-06-15,16343
2011-06-22,28854
2011-06-29,8848
2011-07-06,4852
2011-07-13,7971
2011-07-20,-6773
2011-07-27,-7725
2011-08-03,3639
2011-08-10,5208
2011-08-17,-14517
2011-08-24,1527
2011-08-31,-5545
2011-09-07,4772
2011-09-14,4880
2011-09-21,-5793
2011-09-28,-6826
2011-10-05,8780
2011-10-12,1121
2011-10-19,-8432
2011-10-26,-6705
2011-11-02,-23651
2011-11-09,17752
2011-11-16,-8210
2011-11-23,-9596
2011-11-30,-7745
2011-12-07,6456
2011-12-14,81797
2011-12-21,13597
2011-12-28,10010
2012-01-04,-8406
2012-01-11,-18540
2012-01-18,20274
2012-01-25,122
2012-02-01,5402
2012-02-08,3328
2012-02-15,9618
2012-02-22,-5080
2012-02-29,-7091
2012-03-07,-40975
2012-03-14,8813
2012-03-21,-914
2012-03-28,-14509
2012-04-04,-12659
2012-04-11,1722
2012-04-18,8270
2012-04-25,-8909
2012-05-02,-2281
2012-05-09,-130
2012-05-16,-13166
2012-05-23,8511
2012-05-30,-16841
2012-06-06,9364
2012-06-13,17053
2012-06-20,1775
2012-06-27,-7299
2012-07-04,2311
2012-07-11,421
2012-07-18,-10472
2012-07-25,-9050
2012-08-01,4361
2012-08-08,5063
2012-08-15,-22864
2012-08-22,-7656
2012-08-29,-12855
2012-09-05,9363
2012-09-12,1279
2012-09-19,-1874
2012-09-26,-17117
2012-10-03,4055
2012-10-10,3111
2012-10-17,35297
2012-10-24,-5956
2012-10-31,-17827
2012-11-07,7654
2012-11-14,46453
2012-11-21,-6083
2012-11-28,-19799
2012-12-05,8445
2012-12-12,57453
2012-12-19,2971
2012-12-26,-12931
2013-01-02,9889
2013-01-09,11539
2013-01-16,35084
2013-01-23,47885
2013-01-30,-2993
2013-02-06,6271
2013-02-13,59250
2013-02-20,20925
2013-02-27,-4550
2013-03-06,18205
2013-03-13,56591
2013-03-20,41492
2013-03-27,-4632
2013-04-03,13176
2013-04-10,12330
2013-04-17,67347
2013-04-24,23540
2013-05-01,-1455
2013-05-08,7421
2013-05-15,29654
2013-05-22,44444
2013-05-29,-13585
2013-06-05,15055
2013-06-12,10659
2013-06-19,59688
2013-06-26,8142
2013-07-03,14070
2013-07-10,11353
2013-07-17,33766
2013-07-24,36713
2013-07-31,-2777
2013-08-07,13562
2013-08-14,60964
2013-08-21,-655
2013-08-28,-1212
2013-09-04,9726
2013-09-11,7853
2013-09-18,60157
2013-09-25,11826
2013-10-02,13369
2013-10-09,11276
2013-10-16,54936
2013-10-23,25434
2013-10-30,4363
2013-11-06,8227
2013-11-13,55801
2013-11-20,-804
2013-11-27,19256
2013-12-04,6750
2013-12-11,61329
2013-12-18,14107
2013-12-25,24513
2014-01-01,-8935
2014-01-08,4545
2014-01-15,43343
2014-01-22,26386
2014-01-29,4224
2014-02-05,7147
2014-02-12,10189
2014-02-19,29750
2014-02-26,10748
2014-03-05,11790
2014-03-12,9599
2014-03-19,40720
2014-03-26,4890
2014-04-02,9470
2014-04-09,7747
2014-04-16,39779
2014-04-23,12372
2014-04-30,-290
2014-05-07,7094
2014-05-14,33506
2014-05-21,-9089
2014-05-28,-4906
2014-06-04,8263
2014-06-11,9987
2014-06-18,27264
2014-06-25,180
2014-07-02,8683
2014-07-09,6370
2014-07-16,14800
2014-07-23,12545
2014-07-30,-4109
2014-08-06,3474
2014-08-13,21812
2014-08-20,-18999
2014-08-27,812
2014-09-03,1851
2014-09-10,5821
2014-09-17,28180
2014-09-24,9462
2014-10-01,-8790
2014-10-08,5143
2014-10-15,18957
2014-10-22,7256
2014-10-29,5138
2014-11-05,-169
2014-11-12,2310
2014-11-19,3864
2014-11-26,-6828
2014-12-03,259
2014-12-10,2675
2014-12-17,13382
2014-12-24,7215
2014-12-31,-11802
2015-01-07,1864
2015-01-14,16553
2015-01-21,-3141
2015-01-28,-12872
2015-02-04,284
2015-02-11,1337
2015-02-18,-4834
2015-02-25,-10126
2015-03-04,858
2015-03-11,1696
2015-03-18,6609
2015-03-25,-15285
2015-04-01,1196
2015-04-08,1620
2015-04-15,1947
2015-04-22,4329
2015-04-29,-18196
2015-05-06,1204
2015-05-13,28485
2015-05-20,-20804
2015-05-27,-16403
2015-06-03,1379
2015-06-10,2645
2015-06-17,19812
2015-06-24,7238
2015-07-01,-15925
2015-07-08,2159
2015-07-15,12316
2015-07-22,6898
2015-07-29,-15023
2015-08-05,849
2015-08-12,2921
2015-08-19,-2042
2015-08-26,-12103
2015-09-02,781
2015-09-09,2327
2015-09-16,9596
2015-09-23,9675
2015-09-30,-13373
2015-10-07,2074
2015-10-14,18519
2015-10-21,-3332
2015-10-28,-12033
2015-11-04,363
2015-11-11,2310
2015-11-18,-5291
2015-11-25,-9633
2015-12-02,981
2015-12-09,2367
2015-12-16,9157
2015-12-23,6930
2015-12-30,-9936
2016-01-06,19
2016-01-13,15089
2016-01-20,-12855
2016-01-27,-6491
2016-02-03,1146
2016-02-10,2783
2016-02-17,-2649
2016-02-24,6167
2016-03-02,-11311
2016-03-09,2598
2016-03-16,5250
2016-03-23,6524
2016-03-30,-10017
2016-04-06,1229
2016-04-13,15660
2016-04-20,-9598
2016-04-27,-15466
2016-05-04,2605
2016-05-11,1141
2016-05-18,-4670
2016-05-25,-12630
2016-06-01,282
2016-06-08,2149
2016-06-15,9275
2016-06-22,9192
2016-06-29,-15527
2016-07-06,4123
2016-07-13,1597
2016-07-20,8771
2016-07-27,-16475
2016-08-03,2295
2016-08-10,2136
2016-08-17,-2453
2016-08-24,7364
2016-08-31,-15933
2016-09-07,1487
2016-09-14,22241
2016-09-21,-8603
2016-09-28,-21030
2016-10-05,7405
2016-10-12,-1709
2016-10-19,9684
2016-10-26,-13056
2016-11-02,-1239
2016-11-09,2000
2016-11-16,-1454
2016-11-23,12149
2016-11-30,-19475
2016-12-07,2311
2016-12-14,22355
2016-12-21,-1884
2016-12-28,-17638
2017-01-04,1650
2017-01-11,-592
2017-01-18,8249
2017-01-25,-7920
2017-02-01,1043
2017-02-08,2355
2017-02-15,-1560
2017-02-22,14026
2017-03-01,-10684
2017-03-08,1822
2017-03-15,9737
2017-03-22,8659
2017-03-29,-8618
2017-04-05,5016
2017-04-12,9858
2017-04-19,-5222
2017-04-26,-9128
2017-05-03,1104
2017-05-10,2213
2017-05-17,-6351
2017-05-24,3744
2017-05-31,-10938
2017-06-07,2529
2017-06-14,13826
2017-06-21,-2012
2017-06-28,-10910
2017-07-05,3925
2017-07-12,-570
2017-07-19,10201
2017-07-26,-11619
2017-08-02,1562
2017-08-09,2237
2017-08-16,-6212
2017-08-23,966
2017-08-30,-11477
2017-09-06,1114
2017-09-13,17700
2017-09-20,-12598
2017-09-27,-2915
2017-10-04,4761
2017-10-11,-1007
2017-10-18,10308
2017-10-25,-8606
2017-11-01,-5230
2017-11-08,2665
2017-11-15,-10263
2017-11-22,2326
2017-11-29,-12023
2017-12-06,-1444
2017-12-13,15578
2017-12-20,-5256
2017-12-27,1210
2018-01-03,-4962
2018-01-10,2344
2018-01-17,-6917
2018-01-24,2172
2018-01-31,-22092
2018-02-07,1520
2018-02-14,14118
2018-02-21,-23203
2018-02-28,-18259
2018-03-07,2696
2018-03-14,11161
2018-03-21,-6036
2018-03-28,-9024
2018-04-04,-6094
2018-04-11,-2420
2018-04-18,2219
2018-04-25,-13017
2018-05-02,-16757
2018-05-09,2078
2018-05-16,-20598
2018-05-23,-308
2018-05-30,-9782
2018-06-06,-8328
2018-06-13,5715
2018-06-20,-9010
2018-06-27,-10405.0
2018-07-04,-15727.0
2018-07-11,1437.0
2018-07-18,414.0
2018-07-25,-13934.0
2018-08-01,-22028.0
2018-08-08,2377.0
2018-08-15,-29106.0
2018-08-22,-106.0
2018-08-29,-9904.0
2018-09-05,-10418.0
2018-09-12,2316.0
2018-09-19,-2753.0
2018-09-26,-15150.0
2018-10-03,-18205.0
2018-10-10,2202.0
2018-10-17,-1460.0
2018-10-24,-2376.0
2018-10-31,-33339.0
2018-11-07,2205.0
2018-11-14,3956.0
2018-11-21,-39694.0
2018-11-28,-9028.0
2018-12-05,-11126.0
2018-12-12,2270.0
2018-12-19,-4040.0
2018-12-26,-8638.0
2019-01-02,-17258.0
2019-01-09,-1815.0
2019-01-16,-6519.0
2019-01-23,-2992.0
2019-01-30,-7374.0
2019-02-06,-13328.0
2019-02-13,2081.0
2019-02-20,-47011.0
2019-02-27,-6830.0
2019-03-06,-5456.0
2019-03-13,2425.0
2019-03-20,-8811.0
2019-03-27,-7131.0
2019-04-03,-20108.0
2019-04-10,1275.0
2019-04-17,-4957.0
2019-04-24,-3554.0
2019-05-01,-38582.0
2019-05-08,2525.0
2019-05-15,-27467.0
2019-05-22,-4314.0
2019-05-29,-8991.0
2019-06-05,-3799.0
2019-06-12,2310.0
2019-06-19,-5939.0
2019-06-26,-17199.0
2019-07-03,-13619.0
2019-07-10,1840.0
2019-07-17,-6928.0
2019-07-24,-4674.0
2019-07-31,-24334.0
2019-08-07,2441.0
2019-08-14,4475.0
2019-08-21,-21152.0
2019-08-28,-4920.0
2019-09-04,1562.0
2019-09-11,8165.0
2019-09-18,75022.0
2019-09-25,13020.0
2019-10-02,88116.0
2019-10-09,4124.0
2019-10-16,16516.0
2019-10-23,2229.0
2019-10-30,51123.0
2019-11-06,19620.0
2019-11-13,8439.0
2019-11-20,-17633.0
2019-11-27,22626.0
2019-12-04,12821.0
2019-12-11,29795.0
2019-12-18,41561.0
2019-12-25,28539.0
2020-01-01,8035.0
2020-01-08,-24082.0
2020-01-15,26306.0
2020-01-22,-29938.0
2020-01-29,5718.0
2020-02-05,15077.0
2020-02-12,15982.0
2020-02-19,-11119.0
2020-02-26,-12933.0
2020-03-04,82870.0
2020-03-11,70404.0
2020-03-18,356301.0
2020-03-25,586066.0
2020-04-01,557329.0
2020-04-08,271534.0
2020-04-15,284746.0
2020-04-22,205249.0
2020-04-29,82793.0
2020-05-06,65491.0
2020-05-13,212807.0
2020-05-20,103031.0
2020-05-27,60058.0
2020-06-03,67901.0
2020-06-10,3719.0
2020-06-17,-74246.0
2020-06-24,-12388.0
2020-07-01,-73262.0
2020-07-08,-88324.0
2020-07-15,37888.0
2020-07-22,6151.0
2020-07-29,-15723.0
2020-08-05,-3795.0
2020-08-12,12040.0
2020-08-19,53360.0
2020-08-26,-20219.0
2020-09-02,27074.0
2020-09-09,-6878.0
2020-09-16,53861.0
2020-09-23,28686.0
2020-09-30,-37032.0
2020-10-07,18520.0
2020-10-14,76777.0
2020-10-21,25839.0
2020-10-28,-30959.0
2020-11-04,11173.0
2020-11-11,17938.0
2020-11-18,67663.0
2020-11-25,-26600.0
2020-12-02,5934.0
2020-12-09,20244.0
2020-12-16,119934.0
2020-12-23,41447.0
2020-12-30,-40688.0
2021-01-06,-28542.0
2021-01-13,-841.0
2021-01-20,80974.0
2021-01-27,-10016.0
2021-02-03,5672.0
2021-02-10,31627.0
2021-02-17,115177.0
2021-02-24,32709.0
2021-03-03,-32587.0
2021-03-10,22377.0
2021-03-17,113605.0
2021-03-24,26116.0
2021-03-31,-30634.0
2021-04-07,19894.0
2021-04-14,84222.0
2021-04-21,27844.0
2021-04-28,-39986.0
2021-05-05,29524.0
2021-05-12,20177.0
2021-05-19,92220.0
2021-05-26,-19342.0
2021-06-02,32162.0
2021-06-09,16624.0
2021-06-16,111930.0
2021-06-23,37688.0
2021-06-30,-23401.0
2021-07-07,19229.0
2021-07-14,103878.0
2021-07-21,38879.0
2021-07-28,-19057.0
2021-08-04,13600.0
2021-08-11,22086.0
2021-08-18,85439.0
2021-08-25,-9855.0
2021-09-01,16430.0
2021-09-08,8141.0
2021-09-15,91456.0
2021-09-22,41054.0
2021-09-29,-41843.0
2021-10-06,16051.0
2021-10-13,16910.0
2021-10-20,84001.0
2021-10-27,-8762.0
2021-11-03,18690.0
2021-11-10,88246.0
2021-11-17,11853.0
2021-11-24,6801.0
2021-12-01,-31369.0
2021-12-08,14122.0
2021-12-15,92142.0
2021-12-22,33829.0
2021-12-29,-33035.0
2022-01-05,8261.0
2022-01-12,22557.0
2022-01-19,79556.0
2022-01-26,-7349.0
2022-02-02,12726.0
2022-02-09,4798.0
2022-02-16,33024.0
2022-02-23,17096.0
2022-03-02,-23674.0
2022-03-09,6293.0
2022-03-16,43558.0
2022-03-23,8168.0
2022-03-30,-25332.0
2022-04-06,450.0
2022-04-13,27895.0
2022-04-20,-9636.0
2022-04-27,-16652.0
2022-05-04,773.0
2022-05-11,2036.0
2022-05-18,3890.0
2022-05-25,-31617.0
